munnom;regadm
Lac-Supérieur;Laurentides (15)
Lac-Tremblant-Nord;Laurentides (15)
Lac-Vacher;Côte-Nord (09)
Lac-Wagwabika;Laurentides (15)
Lac-Walker;Côte-Nord (09)
Laforce;Abitibi-Témiscamingue (08)
Lalemant;Saguenay--Lac-Saint-Jean (02)
Lamarche;Saguenay--Lac-Saint-Jean (02)
Lambton;Estrie (05)
L'Ancienne-Lorette;Capitale-Nationale (03)
Landrienne;Abitibi-Témiscamingue (08)
L'Ange-Gardien;Capitale-Nationale (03)
L'Ange-Gardien;Outaouais (07)
Laniel;Abitibi-Témiscamingue (08)
Lanoraie;Lanaudière (14)
L'Anse-Saint-Jean;Saguenay--Lac-Saint-Jean (02)
Lantier;Laurentides (15)
Larouche;Saguenay--Lac-Saint-Jean (02)
L'Ascension;Laurentides (15)
L'Ascension-de-Notre-Seigneur;Saguenay--Lac-Saint-Jean (02)
L'Ascension-de-Patapédia;Gaspésie--Îles-de-la-Madeleine (11)
L'Assomption;Lanaudière (14)
Latulipe-et-Gaboury;Abitibi-Témiscamingue (08)
Launay;Abitibi-Témiscamingue (08)
Laurier-Station;Chaudière-Appalaches (12)
Laurierville;Centre-du-Québec (17)
Laval;Laval (13)
Lavaltrie;Lanaudière (14)
L'Avenir;Centre-du-Québec (17)
Laverlochère-Angliers;Abitibi-Témiscamingue (08)
Lawrenceville;Estrie (05)
Lebel-sur-Quévillon;Nord-du-Québec (10)
Leclercville;Chaudière-Appalaches (12)
Lefebvre;Centre-du-Québec (17)
Lejeune;Bas-Saint-Laurent (01)
Lemieux;Centre-du-Québec (17)
L'Épiphanie;Lanaudière (14)
Léry;Montérégie (16)
Les Bergeronnes;Côte-Nord (09)
Les Cèdres;Montérégie (16)
Les Coteaux;Montérégie (16)
Les Éboulements;Capitale-Nationale (03)
Les Escoumins;Côte-Nord (09)
Les Hauteurs;Bas-Saint-Laurent (01)
Les Îles-de-la-Madeleine;Gaspésie--Îles-de-la-Madeleine (11)
Les Lacs-du-Témiscamingue;Abitibi-Témiscamingue (08)
Les Méchins;Bas-Saint-Laurent (01)
Lévis;Chaudière-Appalaches (12)
L'Île-Cadieux;Montérégie (16)
L'Île-d'Anticosti;Côte-Nord (09)
L'Île-Dorval;Montréal (06)
L'Île-du-Grand-Calumet;Outaouais (07)
L'Île-Perrot;Montérégie (16)
Lingwick;Estrie (05)
Linton;Capitale-Nationale (03)
L'Isle-aux-Allumettes;Outaouais (07)
L'Isle-aux-Coudres;Capitale-Nationale (03)
L'Islet;Chaudière-Appalaches (12)
L'Isle-Verte;Bas-Saint-Laurent (01)
Listuguj;Gaspésie--Îles-de-la-Madeleine (11)
Litchfield;Outaouais (07)
Lochaber;Outaouais (07)
Lochaber-Partie-Ouest;Outaouais (07)
Longue-Pointe-de-Mingan;Côte-Nord (09)
Longue-Rive;Côte-Nord (09)
Longueuil;Montérégie (16)
Lorraine;Laurentides (15)
Lorrainville;Abitibi-Témiscamingue (08)
Lotbinière;Chaudière-Appalaches (12)
Louiseville;Mauricie (04)
Low;Outaouais (07)
Lyster;Centre-du-Québec (17)
Macamic;Abitibi-Témiscamingue (08)
Maddington Falls;Centre-du-Québec (17)
Magog;Estrie (05)
Malartic;Abitibi-Témiscamingue (08)
Maliotenam;Côte-Nord (09)
Manawan;Lanaudière (14)
Mandeville;Lanaudière (14)
Maniwaki;Outaouais (07)
Manseau;Centre-du-Québec (17)
Mansfield-et-Pontefract;Outaouais (07)
Maria;Gaspésie--Îles-de-la-Madeleine (11)
Maricourt;Estrie (05)
Marieville;Montérégie (16)
Marsoui;Gaspésie--Îles-de-la-Madeleine (11)
Marston;Estrie (05)
Martinville;Estrie (05)
Mascouche;Lanaudière (14)
Mashteuiatsh;Saguenay--Lac-Saint-Jean (02)
Maskinongé;Mauricie (04)
Massueville;Montérégie (16)
Matagami;Nord-du-Québec (10)
Matane;Bas-Saint-Laurent (01)
Matapédia;Gaspésie--Îles-de-la-Madeleine (11)
Matchi-Manitou;Abitibi-Témiscamingue (08)
Matimekosh;Côte-Nord (09)
Mayo;Outaouais (07)
McMasterville;Montérégie (16)
Melbourne;Estrie (05)
Mercier;Montérégie (16)
Messines;Outaouais (07)
Métabetchouan--Lac-à-la-Croix;Saguenay--Lac-Saint-Jean (02)
Métis-sur-Mer;Bas-Saint-Laurent (01)
Milan;Estrie (05)
Mille-Isles;Laurentides (15)
Mingan;Côte-Nord (09)
Mirabel;Laurentides (15)
Mistissini;Nord-du-Québec (10)
Mistissini;Nord-du-Québec (10)
Moffet;Abitibi-Témiscamingue (08)
Mont-Albert;Gaspésie--Îles-de-la-Madeleine (11)
Mont-Alexandre;Gaspésie--Îles-de-la-Madeleine (11)
Mont-Apica;Saguenay--Lac-Saint-Jean (02)
Mont-Blanc;Laurentides (15)
Montcalm;Laurentides (15)
Mont-Carmel;Bas-Saint-Laurent (01)
Montcerf-Lytton;Outaouais (07)
Montebello;Outaouais (07)
Mont-Élie;Capitale-Nationale (03)
Mont-Joli;Bas-Saint-Laurent (01)
Mont-Laurier;Laurentides (15)
Montmagny;Chaudière-Appalaches (12)
Montpellier;Outaouais (07)
Montréal;Montréal (06)
Montréal-Est;Montréal (06)
Montréal-Ouest;Montréal (06)
Mont-Royal;Montréal (06)
Mont-Saint-Grégoire;Montérégie (16)
Mont-Saint-Hilaire;Montérégie (16)
Mont-Saint-Michel;Laurentides (15)
Mont-Saint-Pierre;Gaspésie--Îles-de-la-Madeleine (11)
Mont-Tremblant;Laurentides (15)
Mont-Valin;Saguenay--Lac-Saint-Jean (02)
Morin-Heights;Laurentides (15)
Mulgrave-et-Derry;Outaouais (07)
Murdochville;Gaspésie--Îles-de-la-Madeleine (11)
Namur;Outaouais (07)
Nantes;Estrie (05)
Napierville;Montérégie (16)
Natashquan;Côte-Nord (09)
Notre-Dame-Auxiliatrice-de-Buckland;Chaudière-Appalaches (12)
Notre-Dame-de-Bonsecours;Outaouais (07)
Notre-Dame-du-Sacré-Coeur-d'Issoudun;Chaudière-Appalaches (12)
Nédélec;Abitibi-Témiscamingue (08)
Nemaska;Nord-du-Québec (10)
Neuville;Capitale-Nationale (03)
New Carlisle;Gaspésie--Îles-de-la-Madeleine (11)
New Richmond;Gaspésie--Îles-de-la-Madeleine (11)
Newport;Estrie (05)
Nicolet;Centre-du-Québec (17)
Nominingue;Laurentides (15)
Normandin;Saguenay--Lac-Saint-Jean (02)
Normétal;Abitibi-Témiscamingue (08)
North Hatley;Estrie (05)
Notre-Dame-de-Ham;Centre-du-Québec (17)
Notre-Dame-de-la-Merci;Lanaudière (14)
Notre-Dame-de-la-Paix;Outaouais (07)
Notre-Dame-de-la-Salette;Outaouais (07)
Notre-Dame-de-l'Île-Perrot;Montérégie (16)
Notre-Dame-de-Lorette;Saguenay--Lac-Saint-Jean (02)
Notre-Dame-de-Lourdes;Centre-du-Québec (17)
